Bat1,Bat2,Runs,BF,SR,4s,6s,Opposition,Ground,StartDate,Player
82,-,82,,,,,South Africa,Durban,13 Dec 1913,hobbs
23,-,23,,,,,South Africa,Johannesburg,26 Dec 1913,hobbs
92,41,133,,,,,South Africa,Johannesburg,1 Jan 1914,hobbs
64,97,161,,,,,South Africa,Durban,14 Feb 1914,hobbs
33,11*,44,,,,,South Africa,Port Elizabeth,27 Feb 1914,hobbs
49,59,108,,,,,Australia,Sydney,17 Dec 1920,hobbs
122,20,142,,,,,Australia,Melbourne,31 Dec 1920,hobbs
18,123,141,,,,,Australia,Adelaide,14 Jan 1921,hobbs
27,13,40,,,,,Australia,Melbourne,11 Feb 1921,hobbs
40,34,74,,,,,Australia,Sydney,25 Feb 1921,hobbs
absent,absent,-,,,,,Australia,Leeds,2 Jul 1921,hobbs
76,-,76,,,,,South Africa,Birmingham,14 Jun 1924,hobbs
211,-,211,,,,,South Africa,Lord's,28 Jun 1924,hobbs
31,7,38,,,,,South Africa,Leeds,12 Jul 1924,hobbs
30,-,30,,,,,South Africa,The Oval,16 Aug 1924,hobbs
115,57,172,,,,,Australia,Sydney,19 Dec 1924,hobbs
154,22,176,,,,,Australia,Melbourne,1 Jan 1925,hobbs
119,27,146,,,,,Australia,Adelaide,16 Jan 1925,hobbs
66,-,66,,,,,Australia,Melbourne,13 Feb 1925,hobbs
0,13,13,,,,,Australia,Sydney,27 Feb 1925,hobbs
19*,-,19,,,,,Australia,Nottingham,12 Jun 1926,hobbs
119,-,119,,,,,Australia,Lord's,26 Jun 1926,hobbs
49,88,137,,,,,Australia,Leeds,10 Jul 1926,hobbs
74,-,74,,,,,Australia,Manchester,24 Jul 1926,hobbs
37,100,137,,,,,Australia,The Oval,14 Aug 1926,hobbs
53,-,53,,,,,West Indies,Manchester,21 Jul 1928,hobbs
159,-,159,,,,,West Indies,The Oval,11 Aug 1928,hobbs
49,11,60,,,,,Australia,Brisbane,30 Nov 1928,hobbs
40,DNB,40,,,,,Australia,Sydney,14 Dec 1928,hobbs
20,49,69,,,,,Australia,Melbourne,29 Dec 1928,hobbs
74,1,75,,,,,Australia,Adelaide,1 Feb 1929,hobbs
142,65,207,,,,,Australia,Melbourne,8 Mar 1929,hobbs
10,52,62,,,,,South Africa,The Oval,17 Aug 1929,hobbs
78,74,152,,,,,Australia,Nottingham,13 Jun 1930,hobbs
1,19,20,,,,,Australia,Lord's,27 Jun 1930,hobbs
29,13,42,,,,,Australia,Leeds,11 Jul 1930,hobbs
31,-,31,,,,,Australia,Manchester,25 Jul 1930,hobbs
47,9,56,,,,,Australia,The Oval,16 Aug 1930,hobbs
29,0,29,4,0,,,England,Melbourne,29 Dec 1978,border
60*,45*,105,13,0,,,England,Sydney,6 Jan 1979,border
11,1,12,1,0,,,England,Adelaide,27 Jan 1979,border
20,105,125,10,0,,,Pakistan,Melbourne,10 Mar 1979,border
85,66*,151,11,0,,,Pakistan,Perth,24 Mar 1979,border
162,50,212,32,1,,,India,Chennai,11 Sep 1979,border
44,19,63,5,0,,,India,Bangalore,19 Sep 1979,border
24,8,32,4,0,,,India,Kanpur,2 Oct 1979,border
24,46,70,7,0,,,India,Delhi,13 Oct 1979,border
54,6,60,8,0,,,India,Kolkata,26 Oct 1979,border
23,61,84,9,1,,,India,Mumbai,3 Nov 1979,border
1,7,8,0,0,,,West Indies,Brisbane,1 Dec 1979,border
4,115,119,13,0,,,England,Perth,14 Dec 1979,border
17,15,32,3,0,,,West Indies,Melbourne,29 Dec 1979,border
15,2*,17,0,0,,,England,Sydney,4 Jan 1980,border
54,24,78,9,0,,,West Indies,Adelaide,26 Jan 1980,border
63,DNB,63,6,0,,,England,Melbourne,1 Feb 1980,border
30,58*,88,7,0,,,Pakistan,Karachi,27 Feb 1980,border
4,-,4,0,0,,,Pakistan,Faisalabad,6 Mar 1980,border
150*,153,303,31,7,,,Pakistan,Lahore,18 Mar 1980,border
56*,21*,77,8,2,,,England,Lord's,28 Aug 1980,border
36,DNB,36,6,0,,,New Zealand,Brisbane,28 Nov 1980,border
10,DNB,10,2,0,,,New Zealand,Perth,12 Dec 1980,border
45,9,54,5,0,,,New Zealand,Melbourne,26 Dec 1980,border
31,-,31,5,0,,,India,Sydney,2 Jan 1981,border
57,7,64,7,0,,,India,Adelaide,23 Jan 1981,border
124,9,133,13,0,,,India,Melbourne,7 Feb 1981,border
63,20,83,9,0,,,England,Nottingham,18 Jun 1981,border
64,12*,76,9,1,,,England,Lord's,2 Jul 1981,border
8,0,8,1,0,,,England,Leeds,16 Jul 1981,border
2,40,42,4,0,,,England,Birmingham,30 Jul 1981,border
11,123*,134,18,0,,,England,Manchester,13 Aug 1981,border
106*,84,190,21,0,,,England,The Oval,27 Aug 1981,border
3,37,40,3,0,,,Pakistan,Perth,13 Nov 1981,border
36,DNB,36,3,0,,,Pakistan,Brisbane,27 Nov 1981,border
7,1,8,1,0,,,Pakistan,Melbourne,11 Dec 1981,border
4,66,70,2,0,,,West Indies,Melbourne,26 Dec 1981,border
53*,9,62,5,0,,,West Indies,Sydney,2 Jan 1982,border
78,126,204,14,0,,,West Indies,Adelaide,30 Jan 1982,border
DNB,-,-,-,-,,,New Zealand,Wellington,26 Feb 1982,border
0,38,38,7,0,,,New Zealand,Auckland,12 Mar 1982,border
6,DNB,6,1,0,,,New Zealand,Christchurch,19 Mar 1982,border
55*,8,63,8,0,,,Pakistan,Karachi,22 Sep 1982,border
9,31,40,4,0,,,Pakistan,Faisalabad,30 Sep 1982,border
9,6,15,1,0,,,Pakistan,Lahore,14 Oct 1982,border
8,32*,40,5,0,,,England,Perth,12 Nov 1982,border
0,15,15,2,0,,,England,Brisbane,26 Nov 1982,border
26,DNB,26,1,1,,,England,Adelaide,10 Dec 1982,border
2,62*,64,7,0,,,England,Melbourne,26 Dec 1982,border
89,83,172,21,0,,,England,Sydney,2 Jan 1983,border
47*,-,47,2,0,,,Sri Lanka,Kandy,22 Apr 1983,border
32,-,32,5,0,,,Pakistan,Perth,11 Nov 1983,border
118,-,118,10,0,,,Pakistan,Brisbane,25 Nov 1983,border
117*,66,183,21,0,,,Pakistan,Adelaide,9 Dec 1983,border
32,-,32,6,0,,,Pakistan,Melbourne,26 Dec 1983,border
64,DNB,64,7,0,,,Pakistan,Sydney,2 Jan 1984,border
5,54,59,6,0,,,West Indies,Georgetown,2 Mar 1984,border
98*,100*,198,14,0,,,West Indies,Port of Spain,16 Mar 1984,border
38,8,46,6,0,,,West Indies,Bridgetown,30 Mar 1984,border
98,19,117,14,0,,,West Indies,St John's,7 Apr 1984,border
41,60*,101,10,1,,,West Indies,Kingston,28 Apr 1984,border
15,6,21,0,0,,,West Indies,Perth,9 Nov 1984,border
17,24,41,5,0,,,West Indies,Brisbane,23 Nov 1984,border
21,18,39,3,0,,,West Indies,Adelaide,7 Dec 1984,border
35,41,76,8,0,,,West Indies,Melbourne,22 Dec 1984,border
69,-,69,4,0,,,West Indies,Sydney,30 Dec 1984,border
32,8,40,5,0,,,England,Leeds,13 Jun 1985,border
196,41*,237,28,0,,,England,Lord's,27 Jun 1985,border
23,-,23,2,1,,,England,Nottingham,11 Jul 1985,border
8,146*,154,14,0,,,England,Manchester,1 Aug 1985,border
45,2,47,5,0,,,England,Birmingham,15 Aug 1985,border
38,58,96,11,0,,,England,The Oval,29 Aug 1985,border
1,152*,153,20,2,,,New Zealand,Brisbane,8 Nov 1985,border
20,11,31,3,0,,,New Zealand,Sydney,22 Nov 1985,border
12,83,95,4,1,,,New Zealand,Perth,30 Nov 1985,border
49,DNB,49,7,0,,,India,Adelaide,13 Dec 1985,border
11,163,174,17,1,,,India,Melbourne,26 Dec 1985,border
71,4,75,5,0,,,India,Sydney,2 Jan 1986,border
13,-,13,0,0,,,New Zealand,Wellington,21 Feb 1986,border
140,114*,254,25,1,,,New Zealand,Christchurch,28 Feb 1986,border
17,6,23,3,0,,,New Zealand,Auckland,13 Mar 1986,border
106,27,133,18,1,,,India,Chennai,18 Sep 1986,border
DNB,-,-,-,-,,,India,Delhi,26 Sep 1986,border
46,66*,112,14,0,,,India,Mumbai,15 Oct 1986,border
7,23,30,2,0,,,England,Brisbane,14 Nov 1986,border
125,16,141,20,0,,,England,Perth,28 Nov 1986,border
70,100*,170,18,0,,,England,Adelaide,12 Dec 1986,border
15,34,49,6,0,,,England,Melbourne,26 Dec 1986,border
34,49,83,11,0,,,England,Sydney,10 Jan 1987,border
9,DNB,9,1,0,,,New Zealand,Brisbane,4 Dec 1987,border
205,-,205,20,0,,,New Zealand,Adelaide,11 Dec 1987,border
31,43,74,9,0,,,New Zealand,Melbourne,26 Dec 1987,border
2,48*,50,1,0,,,England,Sydney,29 Jan 1988,border
88,-,88,7,0,,,Sri Lanka,Perth,12 Feb 1988,border
4,18,22,3,0,,,Pakistan,Karachi,15 Sep 1988,border
113*,DNB,113,13,0,,,Pakistan,Faisalabad,23 Sep 1988,border
75,20,95,12,0,,,Pakistan,Lahore,7 Oct 1988,border
4,41,45,6,0,,,West Indies,Brisbane,18 Nov 1988,border
6,26,32,3,0,,,West Indies,Perth,2 Dec 1988,border
0,20,20,0,0,,,West Indies,Melbourne,24 Dec 1988,border
75,16*,91,7,0,,,West Indies,Sydney,26 Jan 1989,border
64,6*,70,5,0,,,West Indies,Adelaide,3 Feb 1989,border
66,60*,126,17,1,,,England,Leeds,8 Jun 1989,border
35,1,36,5,0,,,England,Lord's,22 Jun 1989,border
8,DNB,8,1,0,,,England,Birmingham,6 Jul 1989,border
80,DNB,80,10,0,,,England,Manchester,27 Jul 1989,border
65*,-,65,7,0,,,England,Nottingham,10 Aug 1989,border
76,51*,127,16,0,,,England,The Oval,24 Aug 1989,border
50,-,50,5,0,,,New Zealand,Perth,24 Nov 1989,border
56,DNB,56,5,0,,,Sri Lanka,Brisbane,8 Dec 1989,border
24,85,109,7,0,,,Sri Lanka,Hobart,16 Dec 1989,border
24,62*,86,6,0,,,Pakistan,Melbourne,12 Jan 1990,border
13,8,21,1,0,,,Pakistan,Adelaide,19 Jan 1990,border
27*,-,27,2,1,,,Pakistan,Sydney,3 Feb 1990,border
1,78*,79,7,0,,,New Zealand,Wellington,15 Mar 1990,border
9,DNB,9,1,0,,,England,Brisbane,23 Nov 1990,border
62,DNB,62,5,0,,,England,Melbourne,26 Dec 1990,border
78,20,98,13,0,,,England,Sydney,4 Jan 1991,border
12,83*,95,6,0,,,England,Adelaide,25 Jan 1991,border
17,DNB,17,3,0,,,England,Perth,1 Feb 1991,border
31,-,31,4,0,,,West Indies,Kingston,1 Mar 1991,border
47,34,81,7,0,,,West Indies,Georgetown,23 Mar 1991,border
43,27*,70,3,0,,,West Indies,Port of Spain,5 Apr 1991,border
29,0,29,4,0,,,West Indies,Bridgetown,19 Apr 1991,border
59,5,64,8,0,,,West Indies,St John's,27 Apr 1991,border
28,DNB,28,0,2,,,India,Brisbane,29 Nov 1991,border
0,5*,5,0,0,,,India,Melbourne,26 Dec 1991,border
19,53*,72,4,0,,,India,Sydney,2 Jan 1992,border
0,91*,91,4,1,,,India,Adelaide,25 Jan 1992,border
59,20*,79,12,0,,,India,Perth,1 Feb 1992,border
3,15,18,1,0,,,Sri Lanka,Colombo (SSC),17 Aug 1992,border
13,28,41,1,1,,,Sri Lanka,Colombo (RPS),28 Aug 1992,border
106,78,184,26,0,,,Sri Lanka,Moratuwa,8 Sep 1992,border
73,17,90,13,0,,,West Indies,Brisbane,27 Nov 1992,border
110,4,114,5,1,,,West Indies,Melbourne,26 Dec 1992,border
74,DNB,74,5,0,,,West Indies,Sydney,2 Jan 1993,border
19,1,20,2,0,,,West Indies,Adelaide,23 Jan 1993,border
0,0,0,0,0,,,West Indies,Perth,30 Jan 1993,border
88,-,88,13,0,,,New Zealand,Christchurch,25 Feb 1993,border
30,-,30,5,0,,,New Zealand,Wellington,4 Mar 1993,border
0,71,71,9,0,,,New Zealand,Auckland,12 Mar 1993,border
17,31,48,2,0,,,England,Manchester,3 Jun 1993,border
77,-,77,12,0,,,England,Lord's,17 Jun 1993,border
38,2,40,7,0,,,England,Nottingham,1 Jul 1993,border
200*,-,200,26,0,,,England,Leeds,22 Jul 1993,border
3,DNB,3,0,0,,,England,Birmingham,5 Aug 1993,border
48,17,65,7,0,,,England,The Oval,19 Aug 1993,border
16,DNB,16,1,0,,,New Zealand,Perth,12 Nov 1993,border
60,-,60,9,0,,,New Zealand,Hobart,26 Nov 1993,border
105,-,105,15,0,,,New Zealand,Brisbane,3 Dec 1993,border
2,-,2,0,0,,,South Africa,Melbourne,26 Dec 1993,border
49,7,56,4,0,,,South Africa,Sydney,2 Jan 1994,border
84,4,88,3,0,,,South Africa,Adelaide,28 Jan 1994,border
34,14,48,7,0,,,South Africa,Johannesburg,4 Mar 1994,border
45,DNB,45,5,0,,,South Africa,Cape Town,17 Mar 1994,border
17,42*,59,8,0,,,South Africa,Durban,25 Mar 1994,border
13,5,18,52,34.61,3,0,India,Melbourne,26 Dec 1985,waugh
8,0,8,58,13.79,1,0,India,Sydney,2 Jan 1986,waugh
11,-,11,48,22.91,1,0,New Zealand,Wellington,21 Feb 1986,waugh
74,1,75,182,41.2,5,0,New Zealand,Christchurch,28 Feb 1986,waugh
1,0,1,7,14.28,0,0,New Zealand,Auckland,13 Mar 1986,waugh
12*,2*,14,55,25.45,0,0,India,Chennai,18 Sep 1986,waugh
39*,-,39,78,50,3,0,India,Delhi,26 Sep 1986,waugh
6,DNB,6,12,50,1,0,India,Mumbai,15 Oct 1986,waugh
0,28,28,46,60.86,3,0,England,Brisbane,14 Nov 1986,waugh
71,DNB,71,111,63.96,4,1,England,Perth,28 Nov 1986,waugh
79*,DNB,79,117,67.52,10,0,England,Adelaide,12 Dec 1986,waugh
10,49,59,133,44.36,3,0,England,Melbourne,26 Dec 1986,waugh
0,73,73,173,42.19,5,0,England,Sydney,10 Jan 1987,waugh
21,DNB,21,83,25.3,3,0,New Zealand,Brisbane,4 Dec 1987,waugh
61,-,61,174,35.05,6,0,New Zealand,Adelaide,11 Dec 1987,waugh
55,10,65,122,53.27,9,0,New Zealand,Melbourne,26 Dec 1987,waugh
27,DNB,27,85,31.76,2,0,England,Sydney,29 Jan 1988,waugh
20,-,20,54,37.03,2,0,Sri Lanka,Perth,12 Feb 1988,waugh
0,13,13,76,17.1,2,0,Pakistan,Karachi,15 Sep 1988,waugh
1,19,20,39,51.28,4,0,Pakistan,Faisalabad,23 Sep 1988,waugh
59,DNB,59,121,48.76,5,0,Pakistan,Lahore,7 Oct 1988,waugh
4,90,94,190,49.47,9,0,West Indies,Brisbane,18 Nov 1988,waugh
91,26,117,190,61.57,15,1,West Indies,Perth,2 Dec 1988,waugh
42,3,45,119,37.81,1,0,West Indies,Melbourne,24 Dec 1988,waugh
55*,DNB,55,120,45.83,3,0,West Indies,Sydney,26 Jan 1989,waugh
12,8,20,59,33.89,2,0,West Indies,Adelaide,3 Feb 1989,waugh
177*,DNB,177,242,73.14,24,0,England,Leeds,8 Jun 1989,waugh
152*,21*,173,289,59.86,19,0,England,Lord's,22 Jun 1989,waugh
43,DNB,43,54,79.62,6,0,England,Birmingham,6 Jul 1989,waugh
92,DNB,92,174,52.87,7,0,England,Manchester,27 Jul 1989,waugh
0,-,0,8,0,0,0,England,Nottingham,10 Aug 1989,waugh
14,7*,21,40,52.5,1,0,England,The Oval,24 Aug 1989,waugh
17,-,17,48,35.41,1,0,New Zealand,Perth,24 Nov 1989,waugh
60,57,117,246,47.56,8,0,Sri Lanka,Brisbane,8 Dec 1989,waugh
16,134*,150,201,74.62,17,0,Sri Lanka,Hobart,16 Dec 1989,waugh
20,3,23,38,60.52,2,0,Pakistan,Melbourne,12 Jan 1990,waugh
17,4,21,85,24.7,1,0,Pakistan,Adelaide,19 Jan 1990,waugh
DNB,-,-,-,-,-,-,Pakistan,Sydney,3 Feb 1990,waugh
25,25,50,137,36.49,6,0,New Zealand,Wellington,15 Mar 1990,waugh
1,DNB,1,4,25,0,0,England,Brisbane,23 Nov 1990,waugh
19,DNB,19,47,40.42,2,0,England,Melbourne,26 Dec 1990,waugh
48,14,62,89,69.66,10,0,England,Sydney,4 Jan 1991,waugh
26,DNB,26,54,48.14,2,0,West Indies,Port of Spain,5 Apr 1991,waugh
2,4*,6,16,37.5,0,0,West Indies,Bridgetown,19 Apr 1991,waugh
10,20,30,88,34.09,1,0,West Indies,Brisbane,27 Nov 1992,waugh
38,1,39,81,48.14,2,0,West Indies,Melbourne,26 Dec 1992,waugh
100,DNB,100,207,48.3,5,0,West Indies,Sydney,2 Jan 1993,waugh
42,4,46,89,51.68,5,0,West Indies,Adelaide,23 Jan 1993,waugh
13,0,13,40,32.5,2,0,West Indies,Perth,30 Jan 1993,waugh
62,-,62,125,49.6,7,0,New Zealand,Christchurch,25 Feb 1993,waugh
75,-,75,149,50.33,9,0,New Zealand,Wellington,4 Mar 1993,waugh
41,0,41,83,49.39,7,0,New Zealand,Auckland,12 Mar 1993,waugh
3,78*,81,153,52.94,8,0,England,Manchester,3 Jun 1993,waugh
13*,-,13,32,40.62,1,0,England,Lord's,17 Jun 1993,waugh
13,47*,60,173,34.68,6,0,England,Nottingham,1 Jul 1993,waugh
157*,-,157,305,51.47,19,0,England,Leeds,22 Jul 1993,waugh
59,DNB,59,175,33.71,6,0,England,Birmingham,5 Aug 1993,waugh
20,26,46,117,39.31,6,0,England,The Oval,19 Aug 1993,waugh
44,DNB,44,100,44,4,0,New Zealand,Perth,12 Nov 1993,waugh
25*,-,25,48,52.08,0,0,New Zealand,Hobart,26 Nov 1993,waugh
147*,-,147,281,52.31,15,0,New Zealand,Brisbane,3 Dec 1993,waugh
164,1,165,284,58.09,19,0,South Africa,Adelaide,28 Jan 1994,waugh
45*,0,45,83,54.21,6,0,South Africa,Johannesburg,4 Mar 1994,waugh
86,DNB,86,164,52.43,14,0,South Africa,Cape Town,17 Mar 1994,waugh
64,DNB,64,150,42.66,9,0,South Africa,Durban,25 Mar 1994,waugh
73,0,73,86,84.88,13,0,Pakistan,Karachi,28 Sep 1994,waugh
98,DNB,98,188,52.12,10,0,Pakistan,Rawalpindi,5 Oct 1994,waugh
19,7,26,51,50.98,4,0,England,Brisbane,25 Nov 1994,waugh
94*,26*,120,264,45.45,5,0,England,Melbourne,24 Dec 1994,waugh
1,0,1,16,6.25,0,0,England,Sydney,1 Jan 1995,waugh
19,0,19,34,55.88,2,0,England,Adelaide,26 Jan 1995,waugh
99*,80,179,324,55.24,21,0,England,Perth,3 Feb 1995,waugh
65,DNB,65,81,80.24,8,0,West Indies,Bridgetown,31 Mar 1995,waugh
15,65*,80,187,42.78,6,1,West Indies,St John's,8 Apr 1995,waugh
63*,21,84,120,70,9,0,West Indies,Port of Spain,21 Apr 1995,waugh
200,-,200,425,47.05,17,1,West Indies,Kingston,29 Apr 1995,waugh
112*,-,112,275,40.72,7,0,Pakistan,Brisbane,9 Nov 1995,waugh
7,29,36,120,30,0,0,Pakistan,Hobart,17 Nov 1995,waugh
38,14,52,130,40,5,0,Pakistan,Sydney,30 Nov 1995,waugh
131*,DNB,131,252,51.98,11,0,Sri Lanka,Melbourne,26 Dec 1995,waugh
170,61*,231,445,51.91,18,0,Sri Lanka,Adelaide,25 Jan 1996,waugh
0,67*,67,226,29.64,5,0,India,Delhi,10 Oct 1996,waugh
66,DNB,66,184,35.86,3,0,West Indies,Brisbane,22 Nov 1996,waugh
58,37,95,218,43.57,6,0,West Indies,Melbourne,26 Dec 1996,waugh
26,-,26,62,41.93,3,0,West Indies,Adelaide,25 Jan 1997,waugh
1,0,1,26,3.84,0,0,West Indies,Perth,1 Feb 1997,waugh
160,-,160,366,43.71,22,0,South Africa,Johannesburg,28 Feb 1997,waugh
8,18,26,103,25.24,2,0,South Africa,Port Elizabeth,14 Mar 1997,waugh
67,60*,127,311,40.83,17,0,South Africa,Centurion,21 Mar 1997,waugh
12,33,45,120,37.5,6,0,England,Birmingham,5 Jun 1997,waugh
0,-,0,1,0,0,0,England,Lord's,19 Jun 1997,waugh
108,116,224,445,50.33,23,0,England,Manchester,3 Jul 1997,waugh
4,-,4,12,33.33,0,0,England,Leeds,24 Jul 1997,waugh
75,14,89,127,70.07,15,0,England,Nottingham,7 Aug 1997,waugh
22,6,28,53,52.83,2,0,England,The Oval,21 Aug 1997,waugh
2,23,25,67,37.31,3,0,New Zealand,Brisbane,7 Nov 1997,waugh
96,-,96,161,59.62,10,0,New Zealand,Perth,20 Nov 1997,waugh
7,2*,9,29,31.03,0,0,New Zealand,Hobart,27 Nov 1997,waugh
96,17,113,215,52.55,11,0,South Africa,Melbourne,26 Dec 1997,waugh
85,-,85,199,42.71,9,0,South Africa,Sydney,2 Jan 1998,waugh
6,34,40,101,39.6,7,0,South Africa,Adelaide,30 Jan 1998,waugh
12,27,39,88,44.31,5,0,India,Chennai,6 Mar 1998,waugh
80,33,113,313,36.1,18,0,India,Kolkata,18 Mar 1998,waugh
157,-,157,325,48.3,15,1,Pakistan,Rawalpindi,1 Oct 1998,waugh
1,49*,50,126,39.68,4,0,Pakistan,Peshawar,15 Oct 1998,waugh
0,28,28,62,45.16,3,0,Pakistan,Karachi,22 Oct 1998,waugh
112,16*,128,263,48.66,13,0,England,Brisbane,20 Nov 1998,waugh
33,15*,48,90,53.33,8,0,England,Perth,28 Nov 1998,waugh
59,7,66,131,50.38,4,1,England,Adelaide,11 Dec 1998,waugh
122*,30*,152,247,61.53,15,0,England,Melbourne,26 Dec 1998,waugh
96,8,104,199,52.26,10,0,England,Sydney,2 Jan 1999,waugh
14,0,14,48,29.16,1,0,West Indies,Port of Spain,5 Mar 1999,waugh
100,9,109,173,63,13,1,West Indies,Kingston,13 Mar 1999,waugh
199,11,210,408,51.47,20,2,West Indies,Bridgetown,26 Mar 1999,waugh
72*,4,76,193,39.37,6,0,West Indies,St John's,3 Apr 1999,waugh
19,absent,19,35,54.28,3,0,Sri Lanka,Kandy,9 Sep 1999,waugh
19,-,19,49,38.77,2,0,Sri Lanka,Galle,22 Sep 1999,waugh
14,-,14,69,20.28,0,0,Sri Lanka,Colombo (SSC),30 Sep 1999,waugh
151*,DNB,151,351,43.01,18,0,Zimbabwe,Harare,14 Oct 1999,waugh
1,DNB,1,13,7.69,0,0,Pakistan,Brisbane,5 Nov 1999,waugh
24,28,52,114,45.61,2,0,Pakistan,Hobart,18 Nov 1999,waugh
5,-,5,8,62.5,1,0,Pakistan,Perth,26 Nov 1999,waugh
150,5,155,346,44.79,17,0,India,Adelaide,10 Dec 1999,waugh
32,32,64,109,58.71,4,0,India,Melbourne,26 Dec 1999,waugh
57,-,57,124,45.96,9,0,India,Sydney,2 Jan 2000,waugh
17,10,27,50,54,3,1,New Zealand,Auckland,11 Mar 2000,waugh
151*,15,166,334,49.7,26,0,New Zealand,Wellington,24 Mar 2000,waugh
